,Req,Street,Area,Price,Available,Link,Added,Image
49,, Gallery Apartments  G2, Studio Flat,£810 per month,Now,https://www.openrent.co.uk/1718561,13:39 2023/06/02,https://d36pgh4m67wnlt.cloudfront.net/listings/1718561/o_1h1glkjaq12edc3sbth1jnemkj0.JPG_homepage.JPG
50,, Port Dundas Place  G2, Studio Flat,"£1,105 per month",Now,https://www.openrent.co.uk/1715720,13:39 2023/06/02,https://d36pgh4m67wnlt.cloudfront.net/listings/1715720/o_1h177euvg1vgq1ebn78n1fvo1jb52.JPG_homepage.JPG
51,, North Hanover Street  G4, Room in a Shared Flat,£689 per month,Now,https://www.openrent.co.uk/1715059,13:39 2023/06/02,https://d36pgh4m67wnlt.cloudfront.net/listings/1715059/o_1h1cdd3fadp417pr1lfp71a1l040.JPG_homepage.JPG
52,TRUE, Kyle St  G4, Room in a Shared House,£520 per month,Now,https://www.openrent.co.uk/1725852,20:47 2023/06/06,https://d10hbub4nkludc.cloudfront.net/images/NoImageImage4x3.png
53,TRUE, Student Roost: St Mungo's  G4, Room in a Shared Flat,£650 per month,Now,https://www.openrent.co.uk/1724668,20:47 2023/06/06,https://d10hbub4nkludc.cloudfront.net/images/NoImageImage4x3.png
54,, Ingram Street  G1, 1 Bed Flat,£935 per month,Now,https://www.openrent.co.uk/1665454,13:39 2023/06/02,https://d36pgh4m67wnlt.cloudfront.net/listings/1539571/o_1ggqt1ulm1gpr79c1jbu1hheur24.JPG_homepage.JPG
55,, Hope Street  G2, Room in a Shared Flat,£650 per month,Now,https://www.openrent.co.uk/1687391,13:39 2023/06/02,https://d36pgh4m67wnlt.cloudfront.net/listings/1687391/o_1h1oikq2e17oisec1srnhch1iaj0.JPG_homepage.JPG
56,, Blackfriars Road  G1, Studio Flat,£895 per month,Now,https://www.openrent.co.uk/1700379,13:39 2023/06/02,https://d36pgh4m67wnlt.cloudfront.net/listings/1700379/o_1h16pbpeo1gou10tq1k17vi1gnq3.JPG_homepage.JPG
57,TRUE, Bothwell Street  G2, 1 Bed Flat,£940 per month,Now,https://www.openrent.co.uk/1696165,20:47 2023/06/06,https://d10hbub4nkludc.cloudfront.net/images/NoImageImage4x3.png
58,, Block F 10/2  G2, Room in a Shared Flat,£695 per month,Now,https://www.openrent.co.uk/1719653,13:39 2023/06/02,https://d36pgh4m67wnlt.cloudfront.net/listings/1057821/o_1f0s42k0lgo5ljh1uc31ogj1evfj.JPG_homepage.JPG
59,, Merchant Studios  G4, Studio Flat,£500 per month,Now,https://www.openrent.co.uk/1721787,13:39 2023/06/02,https://d36pgh4m67wnlt.cloudfront.net/listings/1721787/o_1h1pjckuk3j8j0p1mjuitkjga1.JPG_homepage.JPG
60,, Buccleuch St  G3, 1 Bed Flat,"£1,180 per month",Now,https://www.openrent.co.uk/1656441,13:39 2023/06/02,https://d36pgh4m67wnlt.cloudfront.net/listings/1656441/o_1grql4g271s31cgodhhhkq16t32.JPG_homepage.JPG
61,, Renfrew Street  G3, Room in a Shared Flat,£600 per month,Now,https://www.openrent.co.uk/1722160,13:39 2023/06/02,https://d36pgh4m67wnlt.cloudfront.net/listings/1556662/o_1gtqbcse314jpg2tdn1reo13hp3.JPG_homepage.JPG
62,TRUE, Charlotte Street  G1, 2 Bed Flat,"£1,200 per month",Now,https://www.openrent.co.uk/1723969,20:51 2023/06/06,https://d36pgh4m67wnlt.cloudfront.net/listings/1700842/o_1gvv6aiqlhpmnkq1ka6jf91dts0.JPG_homepage.JPG
63,, London Road  G40, 2 Bed Flat,£850 per month,Now,https://www.openrent.co.uk/1721980,13:39 2023/06/02,https://d36pgh4m67wnlt.cloudfront.net/listings/1053793/o_1f0tjq1uh17bp1thu84ldn7lj1m.JPG_homepage.JPG
64,TRUE, Wallace Street  G5, 2 Bed Flat,"£1,100 per month",Now,https://www.openrent.co.uk/1699670,20:47 2023/06/06,https://d36pgh4m67wnlt.cloudfront.net/listings/574719/o_1ge4phdumrk9r2h1hibtk2fhn7.JPG_homepage.JPG
65,TRUE, Willowbank Crescent  G3, Studio Flat,£888 per month,Now,https://www.openrent.co.uk/1705570,20:47 2023/06/06,https://d36pgh4m67wnlt.cloudfront.net/listings/1705570/o_1h0bp3sjujakglt3k9tn1j121.JPG_homepage.JPG
66,TRUE, Glasgow  G40, 2 Bed Flat,"£1,000 per month",Now,https://www.openrent.co.uk/1707275,20:47 2023/06/06,https://d36pgh4m67wnlt.cloudfront.net/listings/1707275/o_1h0l5es2v264100gqpe9f31n1e0.JPG_homepage.JPG
67,,Raeberry Street,North Kelvinside  Glasgow  G20 6EE,"£1,000 PCM",Now,https://www.clydeproperty.co.uk/properties/rlwr3210-raeberry-street-flat-1-2-north-kelvinside-glasgow-g20-6ee/,13:39 2023/06/02,https://www.clydeproperty.co.uk/wp-content/uploads/2023/06/property-image-1117470-0-800x533.jpg
68,,Novar Drive,Hyndland  Glasgow  G12 9TA,£995 PCM,Now,https://www.clydeproperty.co.uk/properties/rlwc2397-novar-drive-flat-1-1-hyndland-glasgow-g12-9ta/,13:39 2023/06/02,https://www.clydeproperty.co.uk/wp-content/uploads/2023/05/property-image-1083226-0-800x533.jpg
69,TRUE,Orchard Park Avenue,Thornliebank  Glasgow  G46 7BW,£975 PCM,Now,https://www.clydeproperty.co.uk/properties/rlc0387-orchard-park-avenue-thornliebank-thornliebank-glasgow-g46-7bw/,20:47 2023/06/06,https://www.clydeproperty.co.uk/wp-content/uploads/2023/06/property-image-1128292-0-800x500.jpg
70,,Meadowside Quay Walk ,Glasgow Harbour  Scotland  G11 6EE,£950 PCM,Now,https://www.clydeproperty.co.uk/properties/rlwp3214-meadowside-quay-walk-flat-8-4-glasgow-harbour-scotland-g11-6ee/,13:39 2023/06/02,https://www.clydeproperty.co.uk/wp-content/uploads/2023/05/property-image-1100551-0-800x533.jpg
71,TRUE,South Frederick Street,City Centre  Glasgow  G1 1JG,£950 PCM,Now,https://www.clydeproperty.co.uk/properties/rlsb1516-south-frederick-street-flat-4-14-city-centre-glasgow-g1-1jg/,20:47 2023/06/06,https://www.clydeproperty.co.uk/wp-content/uploads/2023/06/property-image-1129743-0-800x531.jpg
72,,Deanston Drive,Shawlands  Glasgow  G41 3AL,£950 PCM,Now,https://www.clydeproperty.co.uk/properties/rlsm969-deanston-drive-flat-2-2-shawlands-glasgow-g41-3al/,17:17 2023/06/02,https://www.clydeproperty.co.uk/wp-content/uploads/2023/06/property-image-1121610-0-800x533.jpg
73,TRUE,Glasgow Harbour Terrace,Glasgow Harbour  Glasgow  G11 6DJ,£950 PCM,Now,https://www.clydeproperty.co.uk/properties/rlwr2800-glasgow-harbour-terrace-flat-3-1-glasgow-harbour-glasgow-g11-6dj/,20:47 2023/06/06,https://www.clydeproperty.co.uk/wp-content/uploads/2023/06/property-image-1126337-0-800x529.jpg
74,,Addison Road,Kelvindale  Glasgow  G12 0TT,£895 PCM,Now,https://www.clydeproperty.co.uk/properties/rlwe3200-addison-road-flat-5-kelvindale-glasgow-g12-0tt/,13:39 2023/06/02,https://www.clydeproperty.co.uk/wp-content/uploads/2023/05/property-image-1107846-0-800x533.jpg
